taxon	segment	polyprotein	peptide	variable_polyprotein_expectation	segment1_polyprotein	segment1_peptide	segment2_polyprotein	segment2_peptide	segment3_polyprotein	segment3_peptide
Comovirus	2	2	8	0	1	5	1	3		
Arteriviridae	1	1	11	1						
Alphavirus	1	2	9	0						
West Nile virus			13							
Waikavirus	1	1	7	0						
Marafivirus	1	1	3							
Sequivirus	1	1	7							
Picornaviridae			11							
Marnaviridae	1	1	11							
Togaviridae	1	2	10							
Deltaretrovirus			4							
Flaviviridae			10							
Gammaretrovirus			9							
Potyviridae			10							
Astroviridae			7							
Cheravirus		1	8							
Barnaviridae			3							
Hepevirus			7							
Phlebovirus	3	1	2	0	0	0	1	2	0	0
Orthobunyavirus			2							
Tospovirus			2							
Hypoviridae			4							
Aphthovirus			12							
Closteroviridae			2							
Petuvirus			3							
Dicistroviridae			4							
Iflavirus			8							
Tymoviridae		1	2							
Mesoniviridae			9							
Nairovirus			5							
Hantaviridae	3	1	2	0	0	0	1	2	0	0
Lagovirus		1	8	1						
Cavemovirus			2							
Caliciviridae			5							
Sapovirus			7							
Coronaviridae			2							
Omegatetravirus			5							
Vesivirus			8							
Bovine leukemia virus			6							
Secoviridae		1	5							
Permutotetraviridae			3							
Badnavirus			9							
Retroviridae			8							
Endornaviridae		1	2							
Picobirnaviridae			2							
Rubivirus	1	2	5							
Hepeviridae	1	1	4							
Alphacoronavirus			13							
Fabavirus	2	2	8	0	1	5	1	3		
Nepovirus		1	8	0	1	5	1	3		
Birnaviridae			5							
Betacoronavirus			13							
Gammacoronavirus			13							
Sobemovirus	1	1	5							
Iflaviridae			2							
Idaeovirus			4							
Roniviridae			2							
Benyviridae			2							
Tymovirales			0							
Parvoviridae			0							
Rhabdoviridae			0							
Caudovirales			0							
Herpesvirales			0							
Mimiviridae			0							
Phycodnaviridae			0							
Mononegavirales			0							
Arenaviridae			0							
Bunyaviridae			0							
Tenuivirus			0							
Caulimovirus			0							
Asfarviridae			0							
Bromoviridae			0							
Reoviridae			0							
