annotation	node1	node2	node3	relevant_node	expected	taxonomy	type	organism	tax_id
"None"	ssDNA viruses	Nanoviridae	Babuvirus				from_vog	Abaca bunchy top virus	438782
"None"	dsDNA viruses, no RNA stage	Herpesvirales	unclassified Herpesvirales				from_vog	Abalone herpesvirus Victoria/AUS/2009	1241371
"None"	dsDNA viruses, no RNA stage	unclassified dsDNA viruses	Abalone shriveling syndrome-associated virus				from_vog	Abalone shriveling syndrome-associated virus	491893
"Not annotated"	Retro-transcribing viruses	Retroviridae	Orthoretrovirinae	Gammaretrovirus	9		from_vog	Abelson murine leukemia virus	11788
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Abutilon Brazil virus	665102
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Abutilon mosaic Bolivia virus	932071
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Abutilon mosaic Brazil virus	1046572
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Abutilon mosaic virus	10815
"None"	dsDNA viruses, no RNA stage	Mimiviridae	Mimivirus				from_vog	Acanthamoeba polyphaga mimivirus	212035
"None"	dsDNA viruses, no RNA stage	Phycodnaviridae	Chlorovirus				from_vog	Acanthocystis turfacea Chlorella virus 1	322019
"None"	ssDNA viruses	Circoviridae	Circovirus				from_vog	Acartia tonsa copepod circovirus	1168547
"None"	ssDNA viruses	unclassified ssDNA viruses	Acheta domesticus volvovirus				from_vog	Acheta domesticus volvovirus	1291515
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Achromobacter phage JWAlpha	1416009
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Achromobacter phage JWF	1589748
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Achromobacter phage phiAxp-1	1610509
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Achromobacter phage phiAxp-2	1664246
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Achromobacter phage phiAxp-3	1664247
"None"	dsDNA viruses, no RNA stage	Ampullaviridae	Ampullavirus				from_vog	Acidianus bottle-shaped virus	437444
"None"	dsDNA viruses, no RNA stage	Ampullaviridae	Ampullavirus				from_vog	Acidianus bottle-shaped virus 2	1732173
"None"	dsDNA viruses, no RNA stage	Ampullaviridae	Ampullavirus				from_vog	Acidianus bottle-shaped virus 3	1732174
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 1	235266
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 2	300186
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 3	346881
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 6	346882
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 7	346883
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 8	346884
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 9	512792
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Rudiviridae				from_vog	Acidianus rod-shaped virus 1	309181
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Rudiviridae				from_vog	Acidianus rod-shaped virus 2	1732175
"None"	dsDNA viruses, no RNA stage	Fuselloviridae	Betafusellovirus				from_vog	Acidianus spindle-shaped virus 1	693629
"None"	dsDNA viruses, no RNA stage	Bicaudaviridae	unclassified Bicaudaviridae				from_vog	Acidianus tailed spindle virus	1797140
"None"	dsDNA viruses, no RNA stage	Bicaudaviridae	Bicaudavirus				from_vog	Acidianus two-tailed virus	315953
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage Ac42	762660
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage Acj61	760732
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage Acj9	760939
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Leviviridae				from_vog	Acinetobacter phage AP205	154784
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Acinetobacter phage Bphi-B1251	1221835
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Acinetobacter phage IME_AB3	1458669
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Acinetobacter phage Petty	1406779
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage phiAC-1	1229760
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Acinetobacter phage Presley	1406780
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage vB_AbaM_Acibel004	1481186
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Acinetobacter phage vB_AbaP_Acibel007	1481187
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage YMC11/12/R2315	1628720
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage YMC13/03/R2096	1560342
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage ZZ1	1049283
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Aconitum latent virus	101764
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Actinidia virus B	1112770
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Actinidia virus X	1331744
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Actinoplanes phage phiAsp2	279303
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Dicistroviridae	4		from_vog	Acute bee paralysis virus	92444
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Acyrthosiphon pisum virus				from_vog	Acyrthosiphon pisum virus	340187
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 4	57579
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 2	10804
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 3	46350
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 7	202812
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 8	202813
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 1	85106
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Bovine adeno-associated virus	256548
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 5	82300
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Adoxophyes honmai nucleopolyhedrovirus	224399
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Betabaculovirus				from_vog	Adoxophyes orana granulovirus	170617
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Adoxophyes orana nucleopolyhedrovirus	542343
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Flaviviridae	Flaviviridae	10		from_vog	Aedes flavivirus	390845
"None"	dsRNA viruses	Reoviridae	Spinareovirinae				from_vog	Aedes pseudoscutellaris reovirus	341721
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage CC2	1204516
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage pAh6-C	1505227
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage phiAS5	879630
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Aeromonas phage phiAS7	1141132
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage PX29	926067
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage vB_AsaM-56	1127514
"None"	dsDNA viruses, no RNA stage	Guttaviridae	Betaguttavirus				from_vog	Aeropyrum pernix ovoid virus 1	1032474
"None"	unclassified archaeal viruses	Aeropyrum pernix spindle-shaped virus 1	Aeropyrum pernix spindle-shaped virus 1				from_vog	Aeropyrum pernix spindle-shaped virus 1	1032473
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_vog	African bat icavirus PREDICT-06105	2003501
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	African cassava mosaic virus	10817
"None"	dsDNA viruses, no RNA stage	Polyomaviridae	unclassified Polyomaviridae				from_vog	African green monkey polyomavirus	12480
"Not annotated"	Retro-transcribing viruses	Retroviridae	Spumaretrovirinae	Retroviridae	8		from_vog	African green monkey simian foamy virus	338079
"None"	dsRNA viruses	Reoviridae	Sedoreovirinae				from_vog	African horse sickness virus	40050
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	African oil palm ringspot virus	185218
"None"	dsDNA viruses, no RNA stage	Asfarviridae	Asfivirus				from_vog	African swine fever virus	10497
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Ageratum conyzoides associated symptomless alphasatellite	944995
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Ageratum conyzoides symptomless alphasatellite	1705092
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Ageratum enation alphasatellite	1260769
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum enation virus	188333
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Bromoviridae				from_vog	Ageratum latent virus	1386090
