taxon_id	organism	taxon_of_expectation	expected_number_of_peptide	peptide	number_of_final_peptide	expected_number_reached	polyprotein_fully_covered	unannotated_parts	relevant_annotation	matchID	method	score	Dbxref	name	signature_desc	start_in_prot	end_in_prot	start	end	duplicated	overlapping	OverlappingDistance	left_overlaps_peptide	right_overlaps_peptide
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	862	SMART	5.9E-149	InterPro:IPR020635	SM00219		363	614	1706	2462	True	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	863	SMART	3.4E-65	InterPro:IPR015015	SM00808		855	981	3182	3563	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	864	Pfam	2.0E-23	InterPro:IPR000980	PF00017	SH2 domain	248	323	1361	1589	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	865	ProSiteProfiles	42.181	InterPro:IPR000719	PS50011	Protein kinase domain profile.	363	614	1706	2462	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	866	Pfam	3.2E-47	InterPro:IPR002079	PF01141	Gag polyprotein, inner coat protein p12	132	215	1013	1265	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	867	Pfam	5.7E-56	InterPro:IPR000840	PF01140	Matrix protein (MA), p15	2	113	623	959	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	868	CDD	5.91885E-62	InterPro:IPR035837	cd09935	SH2_ABL	244	337	1349	1631	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	869	SMART	1.2E-31	InterPro:IPR000980	SM00252		246	329	1355	1607	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	870	Pfam	4.9E-99	InterPro:IPR001245	PF07714	Protein tyrosine kinase	363	613	1706	2459	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	871	CDD	0.0		cd05052	PTKc_Abl	356	618	1685	2474	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	872	Pfam	5.9E-30	InterPro:IPR015015	PF08919	F-actin binding	877	981	3248	3563	False	False	0	0	0
11788	Abelson murine leukemia virus	Gammaretrovirus	9	3	3	False	False	2	True	873	ProSiteProfiles	24.982	InterPro:IPR000980	PS50001	Src homology 2 (SH2) domain profile.	248	338	1361	1634	False	False	0	0	0
390845	Aedes flavivirus	Flaviviridae	10	15	13	True	True	0	True	1868	Pfam	2.6E-4	InterPro:IPR001650	PF00271	Helicase conserved C-terminal domain	1832	1903	5589	5805	False	False	0	0	0
390845	Aedes flavivirus	Flaviviridae	10	15	13	True	True	0	True	1869	Pfam	5.8E-8	InterPro:IPR011998	PF00869	Flavivirus glycoprotein, central and dimerisation domains	311	417	1026	1347	True	False	0	0	0
390845	Aedes flavivirus	Flaviviridae	10	15	13	True	True	0	True	1870	SMART	0.0013	InterPro:IPR001650	SM00490		1814	1903	5535	5805	False	False	0	0	0
